company,ticker,link,type
Dick's Sporting Goods,DKS,https://www.wikipedia.org/wiki/Dick%27s_Sporting_Goods,public
Diebold,DBD,https://www.wikipedia.org/wiki/Diebold,public
Digital Realty,DLR,https://www.wikipedia.org/wiki/Digital_Realty,public
Dillard's,DDS,https://www.wikipedia.org/wiki/Dillard%27s,public
DineEquity,DIN,https://www.wikipedia.org/wiki/DineEquity,public
Discover Financial,DFS,https://www.wikipedia.org/wiki/Discover_Financial,public
Dolby Laboratories,DLB,https://www.wikipedia.org/wiki/Dolby_Laboratories,public
Dollar General,DG,https://www.wikipedia.org/wiki/Dollar_General,public
Dominion Resources,D,https://www.wikipedia.org/wiki/Dominion_Resources,public
Domino's Pizza,DPZ,https://www.wikipedia.org/wiki/Domino%27s_Pizza,public
Domtar,UFS,https://www.wikipedia.org/wiki/Domtar,
Donaldson Company,DCI,https://www.wikipedia.org/wiki/Donaldson_Company,public
Doral Financial Corporation,DRL,https://www.wikipedia.org/wiki/Doral_Financial_Corporation,public
Dover Corporation,DOV,https://www.wikipedia.org/wiki/Dover_Corporation,public
Dover Downs,DDE,https://www.wikipedia.org/wiki/Dover_Downs,
Dover Motorsports Incorporated,DVD,https://www.wikipedia.org/wiki/Dover_Motorsports_Incorporated,
Dow Chemical Company,DOW,https://www.wikipedia.org/wiki/Dow_Chemical_Company,public
Dr Pepper Snapple Group,DPS,https://www.wikipedia.org/wiki/Dr_Pepper_Snapple_Group,
Dr. Reddy's Laboratories,RDY,https://www.wikipedia.org/wiki/Dr._Reddy%27s_Laboratories,public
DRDGOLD Limited,DRD,https://www.wikipedia.org/wiki/DRDGOLD_Limited,public
Dresser-Rand Group,DRC,https://www.wikipedia.org/wiki/Dresser-Rand_Group,
"DSW, Inc.",DSW,"https://www.wikipedia.org/wiki/DSW,_Inc.",public
DTE Energy,DTE,https://www.wikipedia.org/wiki/DTE_Energy,public
Ducommun,DCO,https://www.wikipedia.org/wiki/Ducommun,
Duff & Phelps,DUC,https://www.wikipedia.org/wiki/Duff_%26_Phelps,
Duke Energy,DUK,https://www.wikipedia.org/wiki/Duke_Energy,public
Dycom Industries,DY,https://www.wikipedia.org/w/index.php?title=Dycom_Industries&action=edit&redlink=1,
Dynegy,DYN,https://www.wikipedia.org/wiki/Dynegy,
E-Commerce China DangDang Inc.,DANG,https://www.wikipedia.org/wiki/Dangdang,
E. I. du Pont de Nemours and Company (DuPont),DD,https://www.wikipedia.org/wiki/DuPont,public
The E. W. Scripps Company,SSP,https://www.wikipedia.org/wiki/E._W._Scripps_Company,public
Eagle Materials Inc.,EXP,https://www.wikipedia.org/wiki/Eagle_Materials,public
Eastman Chemical Co.,EMN,https://www.wikipedia.org/wiki/Eastman_Chemical_Company,public
Eastman Kodak Company,KODK,https://www.wikipedia.org/wiki/Eastman_Kodak,public
Eaton Corporation plc,ETN,https://www.wikipedia.org/wiki/Eaton_Corporation,
Ecolab Inc.,ECL,https://www.wikipedia.org/wiki/Ecolab,public
Ecopetrol S.A.,EC,https://www.wikipedia.org/wiki/Ecopetrol,
Edison International,EIX,https://www.wikipedia.org/wiki/Edison_International,public
Edwards Lifesciences Corp,EW,https://www.wikipedia.org/wiki/Edwards_Lifesciences,public
El Paso Electric Co.,EE,https://www.wikipedia.org/wiki/El_Paso_Electric,
Eldorado Gold Corporation,EGO,https://www.wikipedia.org/wiki/Eldorado_Gold,
Eli Lilly and Company,LLY,https://www.wikipedia.org/wiki/Eli_Lilly_and_Company,public
"Ellie Mae, Inc.",ELLI,https://www.wikipedia.org/wiki/Ellie_Mae,
Embraer S.A.,ERJ,https://www.wikipedia.org/wiki/Embraer,
"EMCOR Group, Inc.",EME,https://www.wikipedia.org/wiki/Emcor,public
Emergent BioSolutions Inc.,EBS,https://www.wikipedia.org/wiki/Emergent_BioSolutions,public
Emeritus Corporation,ESC,https://www.wikipedia.org/wiki/Emeritus_Senior_Living,public
Emerson Electric Co.,EMR,https://www.wikipedia.org/wiki/Emerson_Electric,public
Empire District Electric Co.,EDE,https://www.wikipedia.org/wiki/Empire_District_Electric_Company,
Empresa Distribuidora y Comercializadora Norte S.A.,EDN,https://www.wikipedia.org/wiki/Edenor,
Empresas ICA S.A. DE C.V.,ICA,https://www.wikipedia.org/w/index.php?title=Empresas_ICA_S.A._DE_C.V.&action=edit&redlink=1,
Emulex Corporation,ELX,https://www.wikipedia.org/wiki/Emulex,
"Enbridge, Inc.",ENB,https://www.wikipedia.org/wiki/Enbridge,public
"Enbridge Energy Partners, L.P.",EEP,https://www.wikipedia.org/wiki/Enbridge,public
Endesa Chile,EOC,https://www.wikipedia.org/wiki/Endesa_(Chile),
"Energizer Holdings, Inc.",ENR,https://www.wikipedia.org/wiki/Energizer,public
Energy Transfer LP,ET,https://www.wikipedia.org/wiki/Energy_Transfer_Partners,
Enerplus Corporation,ERF,https://www.wikipedia.org/wiki/Enerplus,
Enersis S.A.,ENI,https://www.wikipedia.org/wiki/Enersis,
EnerSys,ENS,https://www.wikipedia.org/wiki/EnerSys,
ENI S.p.A.,E,https://www.wikipedia.org/wiki/Eni,
"EnPro Industries, Inc.",NPO,https://www.wikipedia.org/wiki/EnPro_Industries,
Entergy Corporation,ETR,https://www.wikipedia.org/wiki/Entergy,
Enterprise Products Partners L.P.,EPD,https://www.wikipedia.org/wiki/Enterprise_Products,public
Entravision Communications Corporation,EVC,https://www.wikipedia.org/wiki/Entravision_Communications,public
"EOG Resources, Inc.",EOG,https://www.wikipedia.org/wiki/EOG_Resources,public
"EPAM Systems, Inc.",EPAM,https://www.wikipedia.org/wiki/EPAM_Systems,public
EQT Corporation,EQT,https://www.wikipedia.org/wiki/EQT,public
Equifax Inc.,EFX,https://www.wikipedia.org/wiki/Equifax,public
Equity Residential,EQR,https://www.wikipedia.org/wiki/Equity_Residential,public
Eros International Plc,EROS,https://www.wikipedia.org/wiki/Eros_International,
Estee Lauder Companies Inc.,EL,https://www.wikipedia.org/wiki/Est%C3%A9e_Lauder_Companies,public
Esterline Technologies Corporation,ESL,https://www.wikipedia.org/wiki/Esterline,
Ethan Allen Interiors Inc.,ETH,https://www.wikipedia.org/wiki/Ethan_Allen_(furniture_company),public
Everbank Financial Corp.,EVER,https://www.wikipedia.org/wiki/EverBank,
Evercore Partners Inc.,EVR,https://www.wikipedia.org/wiki/Evercore_Partners,public
Everest Re Group Ltd.,RE,https://www.wikipedia.org/wiki/Everest_Re,public
"Everyday Health, Inc.",EVDY,https://www.wikipedia.org/wiki/Everyday_Health,
Evogene Ltd.,EVGN,https://www.wikipedia.org/wiki/Evogene,
Exar Corporation,EXAR,https://www.wikipedia.org/wiki/Exar_Corporation,
Exelis Inc.,XLS,https://www.wikipedia.org/wiki/Exelis_Inc.,
Exelon Corporation,EXC,https://www.wikipedia.org/wiki/Exelon,public
"Express, Inc.",EXPR,"https://www.wikipedia.org/wiki/Express,_Inc.",public
"Extended Stay America, Inc.",STAY,https://www.wikipedia.org/wiki/Extended_Stay_America,public
"Exterran Holdings, Inc.",EXH,https://www.wikipedia.org/wiki/Exterran_Holdings,public
"Extra Space Storage, Inc.",EXR,https://www.wikipedia.org/wiki/Extra_Space_Storage,public
Exxon Mobil Corporation,XOM,https://www.wikipedia.org/wiki/ExxonMobil,public
FactSet Research Systems Inc.,FDS,https://www.wikipedia.org/wiki/FactSet,public
Fair Isaac Corporation,FICO,https://www.wikipedia.org/wiki/FICO,public
Family Dollar Stores Inc.,FDO,https://www.wikipedia.org/wiki/Family_Dollar,
"Farfetch, Ltd.",FTCH,https://www.wikipedia.org/wiki/Farfetch,public
FBL Financial Group Inc.,FFG,https://www.wikipedia.org/wiki/FBL_Financial_Group,
Federal Agricultural Mortgage Corporation,AGM,https://www.wikipedia.org/wiki/Federal_Agricultural_Mortgage_Corporation,
Federal Signal Corporation,FSS,https://www.wikipedia.org/wiki/Federal_Signal_Corporation,public
Federated Investors Inc.,FII,https://www.wikipedia.org/wiki/Federated_Investors,
FedEx Corporation,FDX,https://www.wikipedia.org/wiki/FedEx,public
Ferrellgas Partners L.P,FGP,https://www.wikipedia.org/wiki/Ferrellgas,
Ferro Corporation,FOE,https://www.wikipedia.org/wiki/Ferro_Corporation,
Fibria Celulose S.A.,FBR,https://www.wikipedia.org/wiki/Fibria,
Fidelity & Guaranty Life,FGL,https://www.wikipedia.org/wiki/Fidelity_%26_Guaranty_Life,
Fidelity National Financial Inc.,FNF,https://www.wikipedia.org/wiki/Fidelity_National_Financial,public
"Fidelity National Information Services, Inc.",FIS,https://www.wikipedia.org/wiki/FIS_(company),public
First American Financial Corporation,FAF,https://www.wikipedia.org/wiki/First_American_Corporation,
First BanCorp,FBP,https://www.wikipedia.org/wiki/First_BanCorp,public
First Commonwealth Financial Corporation,FCF,https://www.wikipedia.org/wiki/First_Commonwealth_Bank,public
First Horizon National Corporation,FHN,https://www.wikipedia.org/wiki/First_Horizon_National_Corporation,public
First Majestic Silver Corp.,AG,https://www.wikipedia.org/wiki/First_Majestic_Silver,public
"First Niagara Financial Group, Inc.",FNFG.PRB,https://www.wikipedia.org/wiki/First_Niagara_Bank,public
First Republic Bank,FRC,https://www.wikipedia.org/wiki/First_Republic_Bank,
First Trust,FAV,https://www.wikipedia.org/wiki/First_Trust_(company),
FirstEnergy Corp,FE,https://www.wikipedia.org/wiki/FirstEnergy,public
FirstMerit Corporation,FMER.PRA,https://www.wikipedia.org/wiki/FirstMerit_Corporation,public
"Flagstar Bancorp, Inc.",FBC,https://www.wikipedia.org/wiki/Flagstar_Bank,
Fleetmatics Group PLC,FLTX,https://www.wikipedia.org/wiki/Fleetmatics_Group_PLC,
"Flowers Foods, Inc.",FLO,https://www.wikipedia.org/wiki/Flowers_Foods,
Flowserve Corporation,FLS,https://www.wikipedia.org/wiki/Flowserve,public
Fluor Corporation,FLR,https://www.wikipedia.org/wiki/Fluor_Corporation,public
Fly Leasing Limited,FLY,https://www.wikipedia.org/wiki/FLY_Leasing,public
FMC Corporation,FMC,https://www.wikipedia.org/wiki/FMC_Corporation,public
"FMC Technologies, Inc.",FTI,https://www.wikipedia.org/wiki/FMC_Technologies,public
F.N.B. Corporation,FNB,https://www.wikipedia.org/wiki/FNB_Corporation,public
"Fomento Economico Mexicano, S.A.B. De C.V.",FMX,https://www.wikipedia.org/wiki/FEMSA,
"Foot Locker, Inc.",FL,https://www.wikipedia.org/wiki/Foot_Locker,public
Ford Motor Company,F,https://www.wikipedia.org/wiki/Ford_Motor_Company,public
"Forest City Enterprises, Inc.",FCE.A,https://www.wikipedia.org/wiki/Forest_City_Enterprises,
Forestar Group Inc.,FOR,https://www.wikipedia.org/wiki/Forestar_Group,public
Fortress Investment Group LLC,FIG,https://www.wikipedia.org/wiki/Fortress_Investment_Group,
"Fortune Brands Home & Security, Inc.",FBHS,https://www.wikipedia.org/wiki/Fortune_Brands_Home_%26_Security,public
Franco-Nevada Corporation,FNV,https://www.wikipedia.org/wiki/Franco-Nevada,public
Franklin Covey Company,FC,https://www.wikipedia.org/wiki/FranklinCovey,
Franklin Resources Inc.,BEN,https://www.wikipedia.org/wiki/Franklin_Templeton_Investments,public
Freeport-McMoRan Inc.,FCX,https://www.wikipedia.org/wiki/Freeport-McMoRan,public
"Freescale Semiconductor, Ltd.",FSL,https://www.wikipedia.org/wiki/Freescale_Semiconductor,
Fresenius Medical Care AG & Co. KGAA,FMS,https://www.wikipedia.org/wiki/Fresenius_Medical_Care,
Fresh Del Monte Produce Inc.,FDP,https://www.wikipedia.org/wiki/Fresh_Del_Monte_Produce,public
Frontline Ltd.,FRO,https://www.wikipedia.org/wiki/Frontline_Ltd.,public
"FTI Consulting, Inc.",FCN,https://www.wikipedia.org/wiki/FTI_Consulting,public
"Fusion-io, Inc.",FIO,https://www.wikipedia.org/wiki/Fusion-io,
FutureFuel Corp.,FF,https://www.wikipedia.org/wiki/FutureFuel,public
FXCM Inc.,FXCM,https://www.wikipedia.org/wiki/FXCM,
Gafisa S.A.,GFA,https://www.wikipedia.org/wiki/Gafisa,
"GAIN Capital Holdings, Inc.",GCAP,https://www.wikipedia.org/wiki/Gain_Capital,
"Gamco Investors, Inc.",GBL,https://www.wikipedia.org/wiki/GAMCO_Investors,public
GameStop Corp.,GME,https://www.wikipedia.org/wiki/GameStop,public
"Gannett Co., Inc.",GCI,https://www.wikipedia.org/wiki/Gannett_Company,public
"The Gap, Inc.",GPS,https://www.wikipedia.org/wiki/Gap_Inc.,public
Gartner Inc.,IT,https://www.wikipedia.org/wiki/Gartner,public
Gatx Corporation,GMT,https://www.wikipedia.org/wiki/General_American_Transportation_Corporation,public
Gazit-Globe Ltd.,GZT,https://www.wikipedia.org/wiki/Gazit-Globe,public
Gencorp Inc,GY,https://www.wikipedia.org/wiki/GenCorp,
Generac Holdings Inc.,GNRC,https://www.wikipedia.org/wiki/Generac_Power_Systems,public
"General American Investors Company, Inc.",GAM,https://www.wikipedia.org/wiki/General_American_Investors_Company,
General Cable Corporation,BGC,https://www.wikipedia.org/wiki/General_Cable,
General Dynamics Corporation,GD,https://www.wikipedia.org/wiki/General_Dynamics,public
General Electric Company,GE,https://www.wikipedia.org/wiki/General_Electric,public
"General Mills, Inc.",GIS,https://www.wikipedia.org/wiki/General_Mills,public
General Motors Company,GM,https://www.wikipedia.org/wiki/General_Motors,public
Genesco Inc.,GCO,https://www.wikipedia.org/wiki/Genesco,public
"Genesee & Wyoming, Inc.",GWR,https://www.wikipedia.org/wiki/Genesee_%26_Wyoming,
Genie Energy Ltd.,GNE,https://www.wikipedia.org/wiki/Genie_Energy,public
Genpact Limited,G,https://www.wikipedia.org/wiki/Genpact,public
Genuine Parts Company,GPC,https://www.wikipedia.org/wiki/Genuine_Parts_Company,public
"Genworth Financial, Inc.",GNW,https://www.wikipedia.org/wiki/Genworth_Financial,public
"Geo Group, Inc.",GEO,https://www.wikipedia.org/wiki/GEO_Group,public
Georgia Power Company,GPE.PRA,https://www.wikipedia.org/wiki/Georgia_Power,
Gerdau S.A.,GGB,https://www.wikipedia.org/wiki/Gerdau,
GFI Group Inc.,GFIG,https://www.wikipedia.org/wiki/GFI_Group,
Gildan Activewear Inc.,GIL,https://www.wikipedia.org/wiki/Gildan_Activewear,public
Glatfelter,GLT,https://www.wikipedia.org/wiki/Glatfelter,public
GlaxoSmithKline,GSK,https://www.wikipedia.org/wiki/GlaxoSmithKline,
Glimcher Realty Trust,GRT,https://www.wikipedia.org/wiki/Glimcher_Realty_Trust,
Global Partners LP,GLP,https://www.wikipedia.org/wiki/Global_Partners,
Global Payments Inc.,GPN,https://www.wikipedia.org/wiki/Global_Payments,public
"GNC Holdings, Inc.",GNC,https://www.wikipedia.org/wiki/GNC_(store),
GOL Linhas Aéreas Inteligentes S.A.,GOL,https://www.wikipedia.org/wiki/Gol_Transportes_A%C3%A9reos,
Gold Fields Limited,GFI,https://www.wikipedia.org/wiki/Gold_Fields,
Goldcorp Inc.,GG,https://www.wikipedia.org/wiki/Goldcorp,
Goldman Sachs Group Inc.,GS,https://www.wikipedia.org/wiki/Goldman_Sachs,public
The Governor and Company of the Bank of Ireland,IRE,https://www.wikipedia.org/wiki/Bank_of_Ireland,
GP Strategies Corporation,GPX,https://www.wikipedia.org/wiki/GP_Strategies_Corporation,
Graco Inc.,GGG,https://www.wikipedia.org/wiki/Graco_(fluid_handling),public
"Graftech International, Ltd.",GTI,https://www.wikipedia.org/wiki/GrafTech,public
Graham Holdings Company,GHC,https://www.wikipedia.org/wiki/Graham_Holdings_Company,public
"Granite Construction, Inc.",GVA,https://www.wikipedia.org/wiki/Granite_Construction,
Granite Real Estate Investment Trust,GRP.U,https://www.wikipedia.org/wiki/Granite_Real_Estate,
Graphic Packaging Holding Company,GPK,https://www.wikipedia.org/wiki/Graphic_Packaging,public
"Gray Television, Inc.",GTN,https://www.wikipedia.org/wiki/Gray_Television,public
Graña y Montero S.A.A.,GRAM,https://www.wikipedia.org/wiki/Gran%C3%A3_y_Montero,public
Great Plains Energy Inc.,GXP,https://www.wikipedia.org/wiki/Great_Plains_Energy,public
Green Dot Corporation,GDOT,https://www.wikipedia.org/wiki/Green_Dot_Corporation,public
"The Greenbrier Companies, Inc.",GBX,https://www.wikipedia.org/wiki/The_Greenbrier_Companies,public
Griffon Corporation,GFF,https://www.wikipedia.org/wiki/Griffon_Corporation,
Group 1 Automotive Inc.,GPI,https://www.wikipedia.org/wiki/Group_1_Automotive,public
GrubHub Inc.,GRUB,https://www.wikipedia.org/wiki/GrubHub,
"GRUMA, S.A.B. de C.V.",GMK,https://www.wikipedia.org/wiki/Gruma,
"Grupo Aeroportuario del Pacifico, S.A.B de C.V.",PAC,https://www.wikipedia.org/wiki/Grupo_Aeroportuario_del_Pac%C3%ADfico,
"Grupo Aeroportuario del Sureste, S.A.B. de C.V.",ASR,https://www.wikipedia.org/wiki/Grupo_Aeroportuario_del_Sureste,
"Grupo Financiero Santander Mexico, S.A.B. de C.V.",BSMX,https://www.wikipedia.org/wiki/Banco_Santander_(Mexico),public
"Grupo Televisa, S.A.",TV,https://www.wikipedia.org/wiki/Televisa,
"Guangshen Railway Co., Ltd.",GSH,https://www.wikipedia.org/wiki/Guangshen_Railway_(company),public
"Guess?, Inc.",GES,https://www.wikipedia.org/wiki/Guess_(clothing),public
"Guidewire Software, Inc.",GWRE,https://www.wikipedia.org/wiki/Guidewire_Software,public
Gulf Power Company,GUA,https://www.wikipedia.org/wiki/Gulf_Power_Company,
H&R Block Inc.,HRB,https://www.wikipedia.org/wiki/H%26R_Block,public
Haemonetics Corp,HAE,https://www.wikipedia.org/wiki/Haemonetics,public
"Hagerty, Inc.",HGTY,https://www.wikipedia.org/wiki/Hagerty_(insurance),
Halliburton Company,HAL,https://www.wikipedia.org/wiki/Halliburton,public
Hanesbrands Inc.,HBI,https://www.wikipedia.org/wiki/Hanesbrands,public
"Hanger, Inc.",HGR,"https://www.wikipedia.org/wiki/Hanger,_Inc.",
The Hanover Insurance Group,THG,https://www.wikipedia.org/wiki/Hanover_Insurance,public
"Harley-Davidson, Inc.",HOG,https://www.wikipedia.org/wiki/Harley-Davidson,public
Harman International Ind. Inc.,HAR,https://www.wikipedia.org/wiki/Harman_International_Industries,
Harmony Gold Mining Company Limited,HMY,https://www.wikipedia.org/wiki/Harmony_Gold_(mining),
Harris Corporation,HRS,https://www.wikipedia.org/wiki/Harris_Corporation,
Harsco Corporation,HSC,https://www.wikipedia.org/wiki/Harsco,public
Harte Hanks Inc.,HHS,https://www.wikipedia.org/wiki/Harte_Hanks,
Hartford Financial Services Group Inc.,HIG,https://www.wikipedia.org/wiki/The_Hartford,public
Haverty Furniture Companies Inc.,HVT,https://www.wikipedia.org/wiki/Havertys,public
Hawaiian Electric Industries Inc.,HE,https://www.wikipedia.org/wiki/Hawaiian_Electric_Industries,public
H.B. Fuller Company,FUL,https://www.wikipedia.org/wiki/H.B._Fuller,public
"HCA Holdings, Inc.",HCA,https://www.wikipedia.org/wiki/Hospital_Corporation_of_America,public
"HCC Insurance Holdings, Inc.",HCC,https://www.wikipedia.org/wiki/HCC_Insurance_Holdings,
"HCP, Inc.",HCP,https://www.wikipedia.org/wiki/Health_Care_Property_Investors,public
HDFC Bank Limited,HDB,https://www.wikipedia.org/wiki/HDFC_Bank,public
Headwaters Incorporated,HW,https://www.wikipedia.org/wiki/Headwaters_Incorporated,
"Health Net, Inc.",HNT,https://www.wikipedia.org/wiki/Health_Net,
HealthSouth Corporation,HLS,https://www.wikipedia.org/wiki/HealthSouth,public
"Heartland Payment Systems, Inc.",HPY,https://www.wikipedia.org/wiki/Heartland_Payment_Systems,
Hecla Mining Co.,HL,https://www.wikipedia.org/wiki/Hecla_Mining,public
HEICO Corporation,HEI,https://www.wikipedia.org/wiki/HEICO,public
"Helix Energy Solutions Group, Inc.",HLX,https://www.wikipedia.org/wiki/Helix_Energy_Solutions_Group,public
Helmerich & Payne Inc.,HP,https://www.wikipedia.org/wiki/Helmerich_%26_Payne,public
Herbalife Ltd.,HLF,https://www.wikipedia.org/wiki/Herbalife,public
Hersha Hospitality Trust,HT,https://www.wikipedia.org/wiki/Hersha_Hospitality_Trust,public
The Hershey Company,HSY,https://www.wikipedia.org/wiki/The_Hershey_Company,public
"Hertz Global Holdings, Inc.",HTZ,https://www.wikipedia.org/wiki/The_Hertz_Corporation,public
Hess Corporation,HES,https://www.wikipedia.org/wiki/Hess_Corporation,public
Hewlett Packard Co.,HPQ,https://www.wikipedia.org/wiki/Hewlett-Packard,public
Hexcel Corporation,HXL,https://www.wikipedia.org/wiki/Hexcel,public
"Hill International, Inc.",HIL,https://www.wikipedia.org/wiki/Hill_International,
Hillrom,HRC,https://www.wikipedia.org/wiki/Hillrom,
"Hillenbrand, Inc.",HI,"https://www.wikipedia.org/w/index.php?title=Hillenbrand,_Inc.&action=edit&redlink=1",
Hillshire Brands Company,HSH,https://www.wikipedia.org/wiki/Hillshire_Brands,
Hilton Worldwide Holdings Inc.,HLT,https://www.wikipedia.org/wiki/Hilton_Worldwide,public
HNI Corporation,HNI,https://www.wikipedia.org/wiki/HNI_Corporation,public
HollyFrontier Corporation,HFC,https://www.wikipedia.org/wiki/HollyFrontier,public
"Home Depot, Inc.",HD,https://www.wikipedia.org/wiki/The_Home_Depot,public
"Honda Motor Co., Ltd.",HMC,https://www.wikipedia.org/wiki/Honda,public
"Honeywell International, Inc.",HON,https://www.wikipedia.org/wiki/Honeywell,public
Horace Mann Educators Corporation,HMN,https://www.wikipedia.org/wiki/Horace_Mann_Educators_Corporation,public
Hormel Foods Corporation,HRL,https://www.wikipedia.org/wiki/Hormel,public
"Hornbeck Offshore Services, Inc.",HOS,https://www.wikipedia.org/wiki/Hornbeck_Offshore_Services,public
"Hospira, Inc.",HSP,https://www.wikipedia.org/wiki/Hospira,
"Host Hotels & Resorts, Inc.",HST,https://www.wikipedia.org/wiki/Host_Hotels_%26_Resorts,public
"Hovnanian Enterprises, Inc.",HOV,https://www.wikipedia.org/wiki/Hovnanian_Enterprises,
The Howard Hughes Corporation,HHC,https://www.wikipedia.org/wiki/The_Howard_Hughes_Corporation,public
HSBC Finance Corporation,HSFC.PRB,https://www.wikipedia.org/wiki/HSBC_Finance,
HSBC Holdings plc,HSBC,https://www.wikipedia.org/wiki/HSBC,
"Huaneng Power International, Inc.",HNP,https://www.wikipedia.org/wiki/Huaneng_Power_International,public
HudBay Minerals Inc.,HBM,https://www.wikipedia.org/wiki/Hudbay_Minerals,public
Humana Inc.,HUM,https://www.wikipedia.org/wiki/Humana,
"Huntington Ingalls Industries, Inc.",HII,https://www.wikipedia.org/wiki/Huntington_Ingalls_Industries,public
Huntsman Corporation,HUN,https://www.wikipedia.org/wiki/Huntsman_Corporation,public
Hyatt Hotels Corporation,H,https://www.wikipedia.org/wiki/Hyatt,public
Iamgold Corporation,IAG,https://www.wikipedia.org/wiki/Iamgold,public
ICICI Bank Ltd.,IBN,https://www.wikipedia.org/wiki/ICICI_Bank,public
Idacorp Inc.,IDA,https://www.wikipedia.org/wiki/Idacorp,public
IDEX Corporation,IEX,https://www.wikipedia.org/wiki/IDEX_Corporation,public
IDT Corporation,IDT,https://www.wikipedia.org/wiki/IDT_Corporation,
IHS Inc.,IHS,https://www.wikipedia.org/wiki/IHS_Inc.,
Illinois Tool Works Inc.,ITW,https://www.wikipedia.org/wiki/Illinois_Tool_Works,public
Imation Corporation,IMN,https://www.wikipedia.org/wiki/Imation,public
IMAX Corporation,IMAX,https://www.wikipedia.org/wiki/IMAX_Corporation,public
"Imperva, Inc.",IMPV,https://www.wikipedia.org/wiki/Imperva,
"Industrias Bachoco, S.A.B. de C.V.",IBA,https://www.wikipedia.org/wiki/Bachoco,
Infoblox Inc.,BLOX,https://www.wikipedia.org/wiki/Infoblox,
Infosys Limited,INFY,https://www.wikipedia.org/wiki/Infosys,
ING Groep N.V.,ING,https://www.wikipedia.org/wiki/ING_Group,
Ingersoll-Rand plc,IR,https://www.wikipedia.org/wiki/Ingersoll_Rand,public
Ingram Micro Inc.,IM,https://www.wikipedia.org/wiki/Ingram_Micro,
Ingredion Incorporated,INGR,https://www.wikipedia.org/wiki/Ingredion,public
"Insperity, Inc.",NSP,https://www.wikipedia.org/wiki/Insperity,public
"Integrys Energy Group, Inc.",IEH,https://www.wikipedia.org/wiki/Integrys_Energy_Group,
Intelsat S.A.,I,https://www.wikipedia.org/wiki/Intelsat,
"Intercontinental Exchange, Inc.",ICE,https://www.wikipedia.org/wiki/Intercontinental_Exchange,public
InterContinental Hotels Group PLC,IHG,https://www.wikipedia.org/wiki/InterContinental_Hotels_Group,public
International Business Machines Corporation,IBM,https://www.wikipedia.org/wiki/IBM,public
International Flavors & Fragrances Inc.,IFF,https://www.wikipedia.org/wiki/International_Flavors_%26_Fragrances,
International Game Technology,IGT,https://www.wikipedia.org/wiki/International_Game_Technology,
International Paper Co.,IP,https://www.wikipedia.org/wiki/International_Paper,public
International Rectifier Corporation,IRF,https://www.wikipedia.org/wiki/International_Rectifier,public
InterOil Corporation,IOC,https://www.wikipedia.org/wiki/InterOil,public
The Interpublic Group of Companies Inc.,IPG,https://www.wikipedia.org/wiki/Interpublic_Group_of_Companies,public
Interstate Power and Light Company,IPL.PRD,https://www.wikipedia.org/wiki/Alliant_Energy,public
InterXion Holding N.V.,INXN,https://www.wikipedia.org/wiki/Interxion,
"IntraLinks Holdings, Inc.",IL,https://www.wikipedia.org/wiki/IntraLinks,
"Intrawest Resorts Holdings, Inc.",SNOW,https://www.wikipedia.org/wiki/Intrawest,
"Intrepid Potash, Inc.",IPI,https://www.wikipedia.org/wiki/Intrepid_Potash,
Intrexon Corporation,XON,https://www.wikipedia.org/wiki/Intrexon,
Invacare Corporation,IVC,https://www.wikipedia.org/wiki/Invacare,public
Invesco Ltd.,IVZ,https://www.wikipedia.org/wiki/Invesco,public
Investment Technology Group Inc.,ITG,https://www.wikipedia.org/wiki/Investment_Technology_Group,
Invitae Corp.,NVTA,https://www.wikipedia.org/wiki/Invitae,
Ion Geophysical Corporation,IO,https://www.wikipedia.org/wiki/ION_Geophysical,public
Iron Mountain Inc.,IRM,https://www.wikipedia.org/wiki/Iron_Mountain_Incorporated,public
IRSA Inversiones Y Representaciones S.A.,IRS,https://www.wikipedia.org/wiki/Inversiones_y_Representaciones_Sociedad_An%C3%B3nima_(IRSA),public
Itau Unibanco Holding S.A.,ITUB,https://www.wikipedia.org/wiki/Ita%C3%BA_Unibanco,
ITC Holdings Corp.,ITC,https://www.wikipedia.org/wiki/ITC_Transmission,
ITT Corporation,ITT,https://www.wikipedia.org/wiki/ITT_Corporation,public
ITT Educational Services Inc.,ESI,https://www.wikipedia.org/wiki/ITT_Technical_Institute,
J. M. Smucker Company,SJM,https://www.wikipedia.org/wiki/The_J.M._Smucker_Company,public
Jabil Circuit Inc.,JBL,https://www.wikipedia.org/wiki/Jabil_Circuit,public
Jacobs Engineering Group Inc.,JEC,https://www.wikipedia.org/wiki/Jacobs_Engineering_Group,public
James Hardie Industries plc,JHX,https://www.wikipedia.org/wiki/James_Hardie,public
Janus Capital Group Inc.,JNS,https://www.wikipedia.org/wiki/Janus_Capital_Group,public
Jarden Corporation,JAH,https://www.wikipedia.org/wiki/Jarden,
J.C. Penney Company Inc.,JCP,https://www.wikipedia.org/wiki/J._C._Penney,
JGWPT Holdings Inc.,JGW,https://www.wikipedia.org/wiki/J.G._Wentworth,
John Bean Technologies Corporation,JBT,https://www.wikipedia.org/wiki/JBT_Corporation,
"John Wiley & Sons, Inc.",JW.A,https://www.wikipedia.org/wiki/John_Wiley_%26_Sons,
Johnson & Johnson,JNJ,https://www.wikipedia.org/wiki/Johnson_%26_Johnson,public
"Johnson Controls, Inc.",JCI,https://www.wikipedia.org/wiki/Johnson_Controls,
