company,ticker,link,type
BGC Partners,BGCA,https://www.wikipedia.org/wiki/BGC_Partners,public
BHP,BBL & BHP,https://www.wikipedia.org/wiki/BHP,
Big Lots,BIG,https://www.wikipedia.org/wiki/Big_Lots,public
Biglari Holdings,BH,https://www.wikipedia.org/wiki/Biglari_Holdings,public
Bill Barrett Corporation,BBG,https://www.wikipedia.org/wiki/Bill_Barrett_Corporation,public
Bio-Rad Laboratories,BIO,https://www.wikipedia.org/wiki/Bio-Rad_Laboratories,public
BioAmber,BIOA,https://www.wikipedia.org/wiki/BioAmber,
Black Hills Corporation,BKH,https://www.wikipedia.org/wiki/Black_Hills_Corporation,public
BlackRock,BLK,https://www.wikipedia.org/wiki/BlackRock,public
The Blackstone Group,BX,https://www.wikipedia.org/wiki/The_Blackstone_Group,public
BlueLinx,BXC,https://www.wikipedia.org/wiki/BlueLinx,public
Blyth,BTH,https://www.wikipedia.org/wiki/Blyth_Inc,
BMO Financial Group,BMO,https://www.wikipedia.org/wiki/Bank_of_Montreal,public
Boeing,BA,https://www.wikipedia.org/wiki/Boeing,public
Boise Cascade,BCC,https://www.wikipedia.org/wiki/Boise_Cascade,public
Booz Allen Hamilton,BAH,https://www.wikipedia.org/wiki/Booz_Allen_Hamilton,public
BorgWarner,BWA,https://www.wikipedia.org/wiki/BorgWarner,public
Boston Beer Co,SAM,https://www.wikipedia.org/wiki/Samuel_Adams_(beer),
Boston Properties,BXP,https://www.wikipedia.org/wiki/Boston_Properties,public
Boston Scientific,BSX,https://www.wikipedia.org/wiki/Boston_Scientific,public
Boyd Gaming,BYD,https://www.wikipedia.org/wiki/Boyd_Gaming,public
BP,BP,https://www.wikipedia.org/wiki/BP,
BP Prudhoe Bay Royalty Trust,BPT,https://www.wikipedia.org/wiki/BP_Prudhoe_Bay_Royalty_Trust,public
Brady Corporation,BRC,https://www.wikipedia.org/wiki/Brady_Corporation,public
Brandywine Realty Trust,BDN,https://www.wikipedia.org/wiki/Brandywine_Realty_Trust,public
Braskem,BAK,https://www.wikipedia.org/wiki/Braskem,public
BRF S.A.,BRFS,https://www.wikipedia.org/wiki/BRF_S.A.,
Briggs & Stratton,BGG,https://www.wikipedia.org/wiki/Briggs_%26_Stratton,
Bright Horizons Family Solutions,BFAM,https://www.wikipedia.org/wiki/Bright_Horizons_Family_Solutions,public
Brinker International,EAT,https://www.wikipedia.org/wiki/Brinker_International,public
Brink's,BCO,https://www.wikipedia.org/wiki/Brink%27s,public
Bristol-Myers Squibb,BMY,https://www.wikipedia.org/wiki/Bristol-Myers_Squibb,public
Bristow Helicopters,BRS,https://www.wikipedia.org/wiki/Bristow_Helicopters,
Broadridge Financial Solutions,BR,https://www.wikipedia.org/wiki/Broadridge_Financial_Solutions,public
Brookdale Senior Living,BKD,https://www.wikipedia.org/wiki/Brookdale_Senior_Living,public
Brookfield Asset Management,BAM,https://www.wikipedia.org/wiki/Brookfield_Asset_Management,public
Brookfield Infrastructure Partners,BIP,https://www.wikipedia.org/wiki/Brookfield_Infrastructure_Partners,
Brookfield Renewable,BEP,https://www.wikipedia.org/wiki/Brookfield_Renewable,
Brookfield Residential,BRP,https://www.wikipedia.org/wiki/Brookfield_Residential,
Brown & Brown,BRO,https://www.wikipedia.org/wiki/Brown_%26_Brown,public
Brown-Forman,BF.A & BF.B,https://www.wikipedia.org/wiki/Brown-Forman,public
Brown Shoe,BWS,https://www.wikipedia.org/wiki/Brown_Shoe,public
Brunswick Corporation,BC,https://www.wikipedia.org/wiki/Brunswick_Corporation,public
BT Group,BT,https://www.wikipedia.org/wiki/BT_Group,
Buckeye Partners,BPL,https://www.wikipedia.org/wiki/Buckeye_Partners,public
The Buckle,BKE,https://www.wikipedia.org/wiki/Buckle_(clothing_retailer),public
Build-A-Bear Workshop,BBW,https://www.wikipedia.org/wiki/Build-A-Bear_Workshop,public
Bunge,BG,https://www.wikipedia.org/wiki/Bunge_Limited,public
Burlington Coat Factory,BURL,https://www.wikipedia.org/wiki/Burlington_Coat_Factory,public
C. R. Bard,BCR,https://www.wikipedia.org/wiki/C._R._Bard,
Cabela's,CAB,https://www.wikipedia.org/wiki/Cabela%27s,public
Cabot Corporation,CBT,https://www.wikipedia.org/wiki/Cabot_Corporation,public
Coterra,CTRA,https://www.wikipedia.org/wiki/Coterra,public
CACI,CACI,https://www.wikipedia.org/wiki/CACI,public
CAE Inc.,CAE,https://www.wikipedia.org/wiki/CAE_Inc.,public
Calgon Carbon,CCC,https://www.wikipedia.org/wiki/Calgon_Carbon,
Calix Inc.,CALX,https://www.wikipedia.org/wiki/Calix_Inc.,public
Callaway Golf Company,ELY,https://www.wikipedia.org/wiki/Callaway_Golf_Company,public
Calpine,CPN,https://www.wikipedia.org/wiki/Calpine,
Cambrex Corporation,CBM,https://www.wikipedia.org/wiki/Cambrex_Corporation,
Camden Property Trust,CPT,https://www.wikipedia.org/wiki/Camden_Property_Trust,public
Cameco,CCJ,https://www.wikipedia.org/wiki/Cameco,public
Cameron International,CAM,https://www.wikipedia.org/wiki/Cameron_International,
Campbell Soup Company,CPB,https://www.wikipedia.org/wiki/Campbell_Soup_Company,public
